				Patch for Purists - Book Typo Fixes
				By Half11

Version: 4.0.2


Note: Khajiti|Khajiiti|Khajiit| typo fixes are controversial, so we kept those out.


Version 4.0.0 Update
--------------------------------------
Book:ID=bk_BrownBook426:Name=Brown Book of 3E 426: |Mouth Mallam Ryon, Mage| ==> |Mouth Mallam Ryon|
Book:ID=BookSkill_Restoration4:Name=2920, Rain's Hand: |Oblivion<BR><BR>| ==> |Oblivion<BR><BR><BR>| [the text was correct but there appears to be a display bug; only one <BR> was displayed and then the next line was indented]
Book:ID=BookSkill_Restoration4:Name=2920, Rain's Hand: |Summurset| ==> |Summerset| [three instances]
Book:ID=BookSkill_Restoration4:Name=2920, Rain's Hand: |censors| ==> |censers|
Book:ID=BookSkill_Restoration4:Name=2920, Rain's Hand: |Akavir| ==> |Akaviri| [two instances]
Book:ID=BookSkill_Speechcraft3:Name=2920, Second Seed: |neivous| ==> |nervous|
Book:ID=BookSkill_Mysticism2:Name=2920, Sun's Dawn: |Summurset| ==> |Summerset| [two instances]
Book:ID=BookSkill_Mysticism2:Name=2920, Sun's Dawn: |waves| ==> |waved|
Book:ID=BookSkill_Mysticism2:Name=2920, Sun's Dawn: |hold worthless| ==> |holds worthless|
Book:ID=BookSkill_Short Blade2:Name=2920, Sun's Dusk: |Cyrodilic| ==> |Cyrodiilic| [two instances]
Book:ID=BookSkill_Short Blade2:Name=2920, Sun's Dusk: |shudders| ==> |shutters|
Book:ID=BookSkill_Athletics3:Name=36 Lessons of Vivec, Sermon 1: |dreughs| ==> |dreugh|
Book:ID=BookSkill_Blunt Weapon5:Name=36 Lessons of Vivec, Sermon 9: |<DIV ALIGN="LEFT"><BR><BR>| ==> <DIV ALIGN="LEFT">| [last line of the book was an "orphan" on its own page; a typesetter would eliminate this]
Book:ID=BookSkill_Blunt Weapon5:Name=36 Lessons of Vivec, Sermon 9: |Marshalling| ==> |Marshaling|
Book:ID=BookSkill_Blunt Weapon5:Name=36 Lessons of Vivec, Sermon 9: |stomach aches| ==> |stomachaches|
Book:ID=bookskill_unarmored3:Name=36 Lessons of Vivec, Sermon 11: |AMLSIVI| ==> |ALMSIVI|
Book:ID=BookSkill_Alteration4:Name=36 Lessons of Vivec, Sermon 13: |AMLSIVI| ==> |ALMSIVI|
Book:ID=bookskill_unarmored4:Name=36 Lessons of Vivec, Sermon 15: |AMLSIVI| ==> |ALMSIVI|
Book:ID=bookskill_long blade3:Name=36 Lessons of Vivec, Sermon 17: |AMLSIVI| ==> |ALMSIVI|
Book:ID=BookSkill_Axe5:Name=36 Lessons of Vivec, Sermon 16: |dreughs| ==> |dreugh|
Book:ID=BookSkill_Axe5_open:Name=36 Lessons of Vivec, Sermon 16: |dreughs| ==> |dreugh|
Book:ID=bookskill_long blade4:Name=36 Lessons of Vivec, Sermon 20: |nix hounds| ==> |nix-hounds|
Book:ID=bookskill_long blade4:Name=36 Lessons of Vivec, Sermon 20: |leftovers| ==> |leftover|
Book:ID=bookskill_light armor5:Name=36 Lessons of Vivec, Sermon 28: |dreughs| ==> |dreugh| [four instances]
Book:ID=bookskill_light armor5:Name=36 Lessons of Vivec, Sermon 28: |Dreughs| ==> |Dreugh|
Book:ID=BookSkill_Mysticism4:Name=36 Lessons of Vivec, Sermon 36: |AMLSIVI| ==> |ALMSIVI|
Book:ID=BookSkill_Mysticism4:Name=36 Lessons of Vivec, Sermon 36: |dreughs| ==> |dreugh|
Book:ID=BookSkill_Acrobatics2:Name=A Dance in Fire, Chapter 1: |St Alessia| ==> |St. Alessia|
Book:ID=BookSkill_Acrobatics2:Name=A Dance in Fire, Chapter 1: |Cyrodilic| ==> |Cyrodiilic|
Book:ID=BookSkill_Acrobatics2:Name=A Dance in Fire, Chapter 1: |countryside.  Past| ==> |countryside,  past|
Book:ID=BookSkill_Block3:Name=A Dance in Fire, Chapter 2: |labyrinthian| ==> |labyrinthine|
Book:ID=BookSkill_Block3:Name=A Dance in Fire, Chapter 2: |Cyrodilic| ==> |Cyrodiilic|
Book:ID=BookSkill_Block3:Name=A Dance in Fire, Chapter 2: |Jurus's| ==> |Jurus'|
Book:ID=BookSkill_Block3:Name=A Dance in Fire, Chapter 2: |millennia's| ==> |millennium's|
Book:ID=BookSkill_Block3:Name=A Dance in Fire, Chapter 2: |minutes time| ==> |minutes' time|
Book:ID=BookSkill_Block3:Name=A Dance in Fire, Chapter 2: |sharing| ==> |shared|
Book:ID=BookSkill_Athletics2:Name=A Dance in Fire, Chapter 3: |Summurset| ==> |Summerset|
Book:ID=BookSkill_Athletics2:Name=A Dance in Fire, Chapter 3: |Breath| ==> |Breathe|
Book:ID=BookSkill_Athletics2:Name=A Dance in Fire, Chapter 3: |he were| ==> |he was|
Book:ID=BookSkill_Athletics2:Name=A Dance in Fire, Chapter 3: |jagga| ==> |Jagga|
Book:ID=BookSkill_Acrobatics3:Name=A Dance in Fire, Chapter 4: |Cyrodilic| ==> |Cyrodiilic|
Book:ID=BookSkill_Marksman2:Name=A Dance in Fire, Chapter 5: |Cyrodilic| ==> |Cyrodiilic|
Book:ID=BookSkill_Marksman2:Name=A Dance in Fire, Chapter 5: |Summurset| ==> |Summerset|
Book:ID=BookSkill_Marksman2:Name=A Dance in Fire, Chapter 5: |bolt| ==> |arrow|
Book:ID=bookskill_mercantile4:Name=A Dance in Fire, Chapter 6: |Summurset| ==> |Summerset|
Book:ID=bookskill_mercantile4:Name=A Dance in Fire, Chapter 6: |addendums| ==> |addenda|
Book:ID=bookskill_mercantile4:Name=A Dance in Fire, Chapter 6: |Valenwood war| ==> |Valenwood's war|
Book:ID=bookskill_mercantile5:Name=A Dance in Fire, Chapter 7: |Summurset| ==> |Summerset|
Book:ID=bookskill_mercantile5:Name=A Dance in Fire, Chapter 7: |Cyrodilic| ==> |Cyrodiilic|
Book:ID=bookskill_mercantile5:Name=A Dance in Fire, Chapter 7: |I'm said| ==> |I said|
Book:ID=sc_Indie:Name=A dying man's last words: |along| ==> |alone|
Book:ID=BookSkill_Alchemy1:Name=A Game at Dinner: |<DIV ALIGN="LEFT"><BR><BR>| ==> |<DIV ALIGN="LEFT">|
Book:ID=BookSkill_Alchemy1:Name=A Game at Dinner: |Forward| ==> |Foreword|
Book:ID=BookSkill_Alchemy1:Name=A Game at Dinner: |Summurset| ==> |Summerset|
Book:ID=BookSkill_Alchemy1:Name=A Game at Dinner: |counsellorship| ==> |counselorship|
Book:ID=BookSkill_Alchemy1:Name=A Game at Dinner: |unholiness's| ==> |unholiness'|
Book:ID=BookSkill_Alchemy1:Name=A Game at Dinner: |suppliers| ==> |supplier|
Book:ID=bookskill_destruction3:Name=A Hypothetical Treachery: |labyrinthian| ==> |labyrinthine|
Book:ID=bk_leaflet_false:Name=A Leaflet: |nix hounds| ==> |nix-hounds|
Book:ID=bk_ShortHistoryMorrowind:Name=A Short History of Morrowind: |resource could| ==> |resources could|
Book:ID=bk_AedraAndDaedra:Name=Aedra and Daedra: |Cyrodilic| ==> |Cyrodiilic|
Book:ID=bk_Ajira1:Name=Ajira's Mushroom Report: |nix hound| ==> |nix-hound|
Book:ID=bk_AncestorsAndTheDunmer:Name=Ancestors and the Dunmer: |ancestor's| ==> |ancestors'|
Book:ID=bk_AntecedantsDwemerLaw:Name=Antecedants of Dwemer Law: |Sumerset| ==> |Summerset|
Book:ID=bk_AntecedantsDwemerLaw:Name=Antecedants of Dwemer Law: |Dhark| ==> |Dahrk|
Book:ID=bk_AntecedantsDwemerLaw:Name=Antecedants of Dwemer Law: |his owned| ==> |is owned|
Book:ID=bk_AntecedantsDwemerLaw:Name=Antecedants of Dwemer Law: |till they| ==> |until they|
Book:ID=bk_ArcanaRestored:Name=Arcana Restored: |havest| ==> |hast|
Book:ID=bk_ArcanaRestored:Name=Arcana Restored: |wickednesses| ==> |wickedness|
Book:ID=bk_ArcanaRestored:Name=Arcana Restored: |yourself| ==> |thyself| [two instances]
Book:ID=bk_ArcanaRestored:Name=Arcana Restored: |you| ==> |thee|
Book:ID=bk_ArcanaRestored:Name=Arcana Restored: |your| ==> |thine|
Book:ID=bk_ArkayTheEnemy:Name=Arkay the Enemy: |weaklings. Fodder| ==> |weaklings, fodder|
Book:ID=bk_ArkayTheEnemy:Name=Arkay the Enemy: |stuck| ==> |struck|
Book:ID=bk_landdeed_hhrd:Name=Ascadian Isles Land Deed: |Andus| ==> |Andus.|
Book:ID=bk_AuraneFrernis1:Name=Aurane Frernis' Recipies: |Marshmerrow| ==> |marshmerrow|
Book:ID=bk_auranefrernis2:Name=Aurane Frernis' Recipies: |grave dust| ==> |gravedust|
Book:ID=bk_auranefrernis2:Name=Aurane Frernis' Recipies: |mixtures| ==> |mixture|
Book:ID=BookSkill_Sneak3:Name=Azura and the Box: |red-petalled| ==> |red-petaled|
Book:ID=BookSkill_Sneak3:Name=Azura and the Box: |finally truth| ==> |final truth|
Book:ID=bk_BeramJournal4:Name=Beram Journal Entry 4: |Norvus's| ==> |Norvus'|
Book:ID=bk_BiographyBarenziah1:Name=Biography of Barenziah v I: |appropriately-and| ==> |appropriately -- and|
Book:ID=bk_BiographyBarenziah2:Name=Biography of Barenziah v II: |origin-heiress| ==> |origin: heiress|
Book:ID=bk_BiographyBarenziah3:Name=Biography of Barenziah v III: |travelled| ==> |traveled|
Book:ID=bk_BiographyBarenziah3:Name=Biography of Barenziah v III: |that that| ==> |that the|
Book:ID=bk_BiographyBarenziah3:Name=Biography of Barenziah v III: |friendship-and| ==> |friendship -- and|
Book:ID=bk_BiographyBarenziah3:Name=Biography of Barenziah v III: |circumstances-supposedly| ==> |circumstances; supposedly|
Book:ID=bk_BiographyBarenziah3:Name=Biography of Barenziah v III: |Champion-she| ==> |Champion -- she|
Book:ID=bk_BiographyBarenziah3:Name=Biography of Barenziah v III: |fool-save perhaps Barenziah's -- and| ==> |fool, save perhaps Barenziah's, and|
Book:ID=bk_BiographyBarenziah3:Name=Biography of Barenziah v III: |could not| ==> |cannot|
Book:ID=BookSkill_Speechcraft1:Name=Biography of the Wolf Queen: |midst the| ==> |midst of the|
Book:ID=BookSkill_Speechcraft1:Name=Biography of the Wolf Queen: |month long| ==> |month-long|
Book:ID=bk_BlasphemousRevenants:Name=Blasphemous Revenants: |a summons| == > |summoning|
Book:ID=BookSkill_Medium Armor2:Name=Bone, Part One: |Gorklith| ==> |Gorkith| [three instances]
Book:ID=BookSkill_Medium Armor2:Name=Bone, Part One: |and very| ==> |and a very|
Book:ID=BookSkill_Medium Armor3:Name=Bone, Part Two: |Gorklith| ==> |Gorkith| [six instances]
Book:ID=BookSkill_Medium Armor3:Name=Bone, Part Two: |out right| ==> |outright|
Book:ID=BookSkill_Medium Armor3:Name=Bone, Part Two: |comfortably| ==> |comfort|
Book:ID=BookSkill_Medium Armor3:Name=Bone, Part Two: |they though| ==> |they thought|
Book:ID=BookSkill_Alteration1:Name=Breathing Water: |said Tharien| ==> |said Tharien.|
Book:ID=BookSkill_Alteration1:Name=Breathing Water: |wharfs| ==> |wharves| [two instances]
Book:ID=BookSkill_Alteration1:Name=Breathing Water: |breath water| ==> |breathe water| [five instances]
Book:ID=BookSkill_Alteration1:Name=Breathing Water: |breath underwater| ==> |breathe underwater|
Book:ID=BookSkill_Alteration1:Name=Breathing Water: |Thalien| ==> |Tharien| [three instances]
Book:ID=BookSkill_Alteration1:Name=Breathing Water: |that that| ==> |that|
Book:ID=bk_BriefHistoryEmpire1:Name=Brief History of the Empire v 1: |Summurset| ==> |Summerset| [two instances]
Book:ID=bk_BriefHistoryEmpire1:Name=Brief History of the Empire v 1: |defence| ==> |defense|
Book:ID=bk_BriefHistoryEmpire2:Name=Brief History of the Empire v 2: |Summurset| ==> |Summerset|
Book:ID=bk_BriefHistoryEmpire2:Name=Brief History of the Empire v 2: |behaviour| ==> |behavior|
Book:ID=bk_BriefHistoryEmpire2:Name=Brief History of the Empire v 2: |travelled| ==> |traveled|
Book:ID=bk_BriefHistoryEmpire2:Name=Brief History of the Empire v 2: |Potema.  The| ==> |Potema, the|
Book:ID=bk_BriefHistoryEmpire2:Name=Brief History of the Empire v 2: |unlikely-for| ==> |unlikely -- for|
Book:ID=bk_BriefHistoryEmpire2:Name=Brief History of the Empire v 2: |that previous| ==> |that the previous|
Book:ID=bk_BriefHistoryEmpire2:Name=Brief History of the Empire v 2: |conspiracy minded| ==> |conspiracy-minded|
Book:ID=bk_BriefHistoryEmpire3:Name=Brief History of the Empire v 3: |swivelled| ==> |swiveled|
Book:ID=bk_BriefHistoryEmpire3:Name=Brief History of the Empire v 3: |.  <BR>| ==> |.<BR><BR>| [five instances]
Book:ID=bk_BriefHistoryEmpire3:Name=Brief History of the Empire v 3: |.<BR>| ==> |.<BR><BR>| [two instances]
Book:ID=bk_BriefHistoryEmpire4:Name=Brief History of the Empire v 4: |well-practised| ==> |well-practiced|
Book:ID=bk_BriefHistoryEmpire4:Name=Brief History of the Empire v 4: |endeavours-but| ==> |endeavors -- but|
Book:ID=bk_BriefHistoryEmpire4:Name=Brief History of the Empire v 4: |Emperors-the| ==> |Emperors -- the|
Book:ID=bookskill_unarmored2:Name=Charwich-Koniinge, Volume 1: |Suns| ==> |Sun's|
Book:ID=bookskill_unarmored2:Name=Charwich-Koniinge, Volume 1: |surrounded| ==> |surrounding|
Book:ID=bookskill_hand to hand3:Name=Charwich-Koniinge, Volume 2: |Pot| ==> |Plot|
Book:ID=bookskill_hand to hand3:Name=Charwich-Koniinge, Volume 2: |manner that I| ==> |manner than I|
Book:ID=bookskill_hand to hand3:Name=Charwich-Koniinge, Volume 2: |of crusade| ==> |of a crusade|
Book:ID=bookskill_hand to hand3:Name=Charwich-Koniinge, Volume 2: |breath| ==> |breathe|
Book:ID=bookskill_hand to hand3:Name=Charwich-Koniinge, Volume 2: |ordinator| ==> |Ordinator|
Book:ID=bookskill_hand to hand4:Charwich-Koniinge, Volume 4: |Summurset| ==> |Summerset| [two instances]
Book:ID=bookskill_medium armor1:Name=Cherim's Heart of Anequina: |in command| ==> |on command|
Book:ID=bookskill_medium armor1:Name=Cherim's Heart of Anequina: |principle| ==> |principal|
Book:ID=bk_ChildrenOfTheSky:Name=Children of the Sky: |people;| ==> |people,|
Book:ID=BookSkill_Heavy Armor3:Name=Chimarvamidium: |Barif has| ==> |Barif had|
Book:ID=BookSkill_Heavy Armor3:Name=Chimarvamidium: |it's meaning| ==> |its meaning|
Book:ID=BookSkill_Heavy Armor3:Name=Chimarvamidium: |collection, which| ==> |collection which|
Book:ID=bk_Confessions:Name=Confessions of a Skooma-Eater: |appetising| ==> |appetizing|
Book:ID=bk_Confessions:Name=Confessions of a Skooma-Eater: |derivative moon-sugar| ==> |derivative of moon sugar|
Book:ID=bk_stronghold_c_hlaalu:Name=Construction Contract: |reverts| ==> |revert|
Book:ID=bk_corpsepreperation1_c:Name=Corpse Preparation v I: |near coast| ==> |near the coast|
Book:ID=bk_corpsepreperation1_o:Name=Corpse Preparation v I: |near coast| ==> |near the coast|
Book:ID=bk_corpsepreperation3_c:Name=Corpse Preparation v III: |it not| ==> |it is not|
Book:ID=bk_corpsepreperation3_c:Name=Corpse Preparation v III: |Argonian| ==> |Argonia|
Book:ID=bk_corpsepreperation3_c:Name=Corpse Preparation v III: |servant, the| ==> |servant; the|
Book:ID=bk_darkestdarkness:Name=Darkest Darkness: |Mehrunes Razor| ==> |Mehrunes' Razor|
Book:ID=BookSkill_Block1:ID=Death Blow of Abernanit: |<DIV ALIGN="LEFT"><BR><BR>| ==> <DIV ALIGN="LEFT">| [last line of the book was an "orphan" on its own page; a typesetter would eliminate this]
Book:ID=BookSkill_Block1:ID=Death Blow of Abernanit: |forelorn| ==> |forlorn|
Book:ID=BookSkill_Block1:ID=Death Blow of Abernanit: |villiany's| ==> |villainy's|
Book:ID=BookSkill_Block1:ID=Death Blow of Abernanit: |cruellest| ==> |cruelest|
Book:ID=BookSkill_Block1:ID=Death Blow of Abernanit: |the the| ==> |the|
Book:ID=BookSkill_Block1:ID=Death Blow of Abernanit: |absord| ==> |absorb|
Book:ID=BookSkill_Block1:ID=Death Blow of Abernanit: |fever glassed| ==> |fever-glassed|
Book:ID=bk_a1_1_packagedecoded:Name=decoded package: [name itself] |decoded package| ==> |Decoded Package|
Book:ID=bk_a1_1_packagedecoded:Name=decoded package: |in its several| ==> |in several|
Book:ID=bk_indreledeed:Name=Deed to Indrele's House: |Velando| ==> |Velanda| [although this deed is forged, Velanda Omani forged it, as she will say to the PC "You ruined my plans, %PCName" when the deed is taken from her, unless the PC is the Hlaalu Grandmaster, in which case she will lie that it was a retainer's forgery.  She would not have misspelt her own name.]
Book:ID=bk_Ibardad_Elante_notes:Name=Elante's Notes: |Mordins's| ==> |Mordrin's|
Book:ID=BookSkill_Enchant1:Name=Feyfolken I: |Summurset| ==> |Summerset| [two instances]
Book:ID=BookSkill_Enchant1:Name=Feyfolken I: |SUNDAS'S| ==> |SUNDAS'|
Book:ID=BookSkill_Conjuration2:Name=Feyfolken III: |primative| ==> |primitive|
Book:ID=BookSkill_Conjuration2:Name=Feyfolken III: |Thaubad| ==> |Thaurbad|
Book:ID=bk_formygodsandemperor:Name=For my Gods and Emperor: Sentence |Non-members pay 25 drakes. | is duplicated.
Book:ID=bk_fragmentonartaeum:Name=Fragment: On Artaeum: |Summurset| ==> |Summerset| [three instances]
Book:ID=bk_fragmentonartaeum:Name=Fragment: On Artaeum: |Sumurset| ==> |Summerset|
Book:ID=bk_fragmentonartaeum:Name=Fragment: On Artaeum: |counsellors| ==> |counselors|
Book:ID=bk_fragmentonartaeum:Name=Fragment: On Artaeum: |Tamrielan| ==> |Tamrielic|
Book:ID=bk_frontierconquestaccommodat:Name=Frontier, Conquest...: |proto-Cyrodilians| ==> |proto-Cyrodiils| [the correct form is repeated later in the book]
Book:ID=bk_galerionthemystic:Name=Galerion The Mystic: |nonexistant| ==> |nonexistent|
Book:ID=bk_galerionthemystic:Name=Galerion The Mystic: |Summurset| ==> |Summerset|
Book:ID=bk_galerionthemystic:Name=Galerion The Mystic: |Galarion| ==> |Galerion|
Book:ID=bk_galerionthemystic:Name=Galerion The Mystic: |small scale| ==> |small-scale|
Book:ID=bk_galerionthemystic:Name=Galerion The Mystic: |Trechtus's| ==> |Trechtus'|
Book:ID=bk_galur_rithari's_papers:Name=Galur Rithari's Papers: |some for| ==> |some way for|
Book:ID=bk_uleni's_papers:Name=Ghost-Free Papers: |Hereas| ==> |Whereas|
Book:ID=bk_graspingfortune:Name=Grasping Fortune: |each other| ==> |others|
Book:ID=bk_great_houses:Name=Great Houses of Morrowind: |clan and| ==> |clans and|
Book:ID=bk_guide_to_ald_ruhn:Name=Guide to Ald'ruhn: |Priniciple| ==> |Principal|
Book:ID=bk_guide_to_ald_ruhn:Name=Guide to Ald'ruhn: |Pricy| ==> |Pricey|
Book:ID=bk_guide_to_ald_ruhn:Name=Guide to Ald'ruhn: |Andarysis| ==> |Andarys is|
Book:ID=bk_guide_to_balmora:Name=Guide to Balmora: |the southeast| ==> |the northwest|
Book:ID=bk_guide_to_balmora:Name=Guide to Balmora: |counselors| ==> |councilors|
Book:ID=bk_guide_to_sadrithmora:Name=Guide to Sadrith Mora: |Nigiliusis is Mages| ==> |Nigilius is the Mages|
Book:ID=bk_guide_to_vivec:Name=Guide to Vivec: |eastmost| ==> |easternmost|
Book:ID=bk_guide_to_vivec:Name=Guide to Vivec: |westmost| ==> |westernmost|
Book:ID=bk_guide_to_vvardenfell:Name=Guide to Vvardenfell: |northeastmost| ==> |northeasternmost|
Book:ID=bk_guide_to_vvardenfell:Name=Guide to Vvardenfell: |Vvardefell| ==> |Vvardenfell| [two instances]
Book:ID=bk_guide_to_vvardenfell:Name=Guide to Vvardenfell: |Hawk Moth| ==> |Hawkmoth|
Book:ID=bk_guide_to_vvardenfell:Name=Guide to Vvardenfell: |of Ald Veloth| => |of Ald Velothi|
Book:ID=bk_hanginggardenswasten:Name=Hanging Gardens...: |Aldmeris is| ==> |Aldmeris are|
Book:ID=bk_a1_2_antabolistocosades:Name=Hasphat's notes for Cosades: [name] |notes| ==> |Notes|
Book:ID=bk_a1_2_antabolistocosades:Name=Hasphat's notes for Cosades: |sorceries.<BR>| ==> |sorceries.<BR><BR>|
Book:ID=bk_HomiliesOfBlessedAlmalexia:Name=Homilies of Blessed Almalexia: |of its| ==> |of his|
Book:ID=bk_hospitality_papers:Name=Hospitality Papers: |Hereas| ==> |Whereas|
Book:ID=bk_hospitality_papers:Name=Hospitality Papers: |his own| ==> |his or her own|
Book:ID=bk_hospitality_papers:Name=Hospitality Papers: |do not| ==> |does not|
Book:ID=bookskill_heavy armor4:Name=How Orsinium Passed to the Orcs: |Berylth| ==> |Berylith| [four instances]
Book:ID=bookskill_heavy armor4:Name=How Orsinium Passed to the Orcs: |emisary| ==> |emissary|
Book:ID=bookskill_heavy armor4:Name=How Orsinium Passed to the Orcs: |Your try| ==> |You try|
Book:ID=BookSkill_Light Armor2:Name=Ice and Chiton: [name itself] |Chiton| ==> |Chitin|
Book:ID=BookSkill_Light Armor2:Name=Ice and Chiton: |was would| ==> |would|
Book:ID=BookSkill_Light Armor2:Name=Ice and Chiton: |warlords'| ==> |warchiefs'|
Book:ID=bookskill_illusion3:Name=Incident in Necrom: |combatter| ==> |combattant|
Book:ID=bookskill_illusion3:Name=Incident in Necrom: |Cyrodilic| ==> |Cyrodillic|
Book:ID=bookskill_illusion3:Name=Incident in Necrom: |questors| ==> |questers|
Book:ID=bk_InvocationOfAzura:Name=Invocation of Azura: |Schemer Princess| ==> |Schemer Prince|
Book:ID=bk_InvocationOfAzura:Name=Invocation of Azura: |to her cultists| ==> |to his cultists|
Book:ID=bk_InvocationOfAzura:Name=Invocation of Azura: |Boethiah-and| ==> |Boethiah -- and|
Book:ID=bk_InvocationOfAzura:Name=Invocation of Azura: |Warrior Princess| ==> |Warrior Prince|
Book:ID=bk_InvocationOfAzura:Name=Invocation of Azura: |Daedroth| ==> |Daedra|
Book:ID=bk_InvocationOfAzura:Name=Invocation of Azura: |for a mistress| ==> |for a master|
Book:ID=bk_InvocationOfAzura:Name=Invocation of Azura: |summon her on| ==> |summon him on|
Book:ID=bk_InvocationOfAzura:Name=Invocation of Azura: |in her honor| ==> |in his honor|
Book:ID=bk_InvocationOfAzura:Name=Invocation of Azura: |for her cultists-she| ==> |for his cultists -- he|
Book:ID=bk_InvocationOfAzura:Name=Invocation of Azura: |saw her smile| ==> |saw him smile|
Book:ID=bk_InvocationOfAzura:Name=Invocation of Azura: |pleased her| ==> |pleased him|
Book:ID=bk_InvocationOfAzura:Name=Invocation of Azura: |Nocturnal-Nocturnal| ==> |Nocturnal -- Nocturnal|
Book:ID=bk_kagrenac'sjournal_excl:Name=Kagrenac's Journal: |Journals'.| ==> |Journal.'|
Book:ID=bk_kagrenac'splans_excl:Name=Kagrenac's Planbook: |Ald Aldmeris| ==> |Aldmeris|
Book:ID=bk_kagrenac'stools:Name=Kagrenac's Tools: |Priests ]| ==> |Priests]|
Book:ID=BookSkill_Armorer2:Name=Last Scabbard of Akrash: |had had| ==> |had|
Book:ID=BookSkill_Armorer2:Name=Last Scabbard of Akrash: |particular as| ==> |particularly as|
Book:ID=bk_LivesOfTheSaints:Name=Lives of the Saints: |St. Nerevar| ==> |Saint Nerevar|
Book:ID=bk_LivesOfTheSaints:Name=Lives of the Saints: |all House| ==> |all Houses|
Book:ID=bookskill_light armor3:Name=Lord Jornibret's Last Dance: |It 'twas| ==> |'Twas|
Book:ID=bookskill_hand to hand5:Name=Master Zoaraym's Tale: |Omathan| ==> |Omothan|
Book:ID=bk_MysteriousAkavir:Name=Mysterious Akavir: |Cyrodilic| ==> |Cyrodiilic|
